Borough,Neighborhood,Latitude,Longitude
Bronx,Wakefield,40.894705176609996,-73.84720052054901
Bronx,Co-op City,40.87429419303012,-73.829939108124
Bronx,Eastchester,40.887555677350775,-73.82780644716412
Bronx,Fieldston,40.89543742690383,-73.90564259591682
Bronx,Riverdale,40.890834493891305,-73.9125854610857
Bronx,Kingsbridge,40.88168737120521,-73.90281798724605
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981
Bronx,Woodlawn,40.898272612138044,-73.86731496814177
Bronx,Norwood,40.87722415599446,-73.8793907395681
Bronx,Williamsbridge,40.88103887819211,-73.85744642974205
Bronx,Baychester,40.866858107252696,-73.83579759808117
Bronx,Pelham Parkway,40.857413498088654,-73.85475564017999
Bronx,City Island,40.847246704918135,-73.78648845267412
Bronx,Bedford Park,40.870185164975325,-73.8855121841913
Bronx,University Heights,40.85572707719664,-73.91041596191309
Bronx,Morris Heights,40.847897926062714,-73.91967159119567
Bronx,Fordham,40.86099679638654,-73.89642655981623
Bronx,East Tremont,40.84269615786053,-73.88735617532338
Bronx,West Farms,40.839475056726535,-73.87774474910546
Bronx,High  Bridge,40.836623010706056,-73.92610209358129
Bronx,Melrose,40.819754370594936,-73.90942160757436
Bronx,Mott Haven,40.80623874935177,-73.91609987487574
Bronx,Port Morris,40.80166362775621,-73.91322139386133
Bronx,Longwood,40.81509904545822,-73.8957882009446
Bronx,Hunts Point,40.80972987938709,-73.88331505955291
Bronx,Morrisania,40.823591985855344,-73.90150648943059
Bronx,Soundview,40.821012197914015,-73.86574609554923
Bronx,Clason Point,40.80655112003589,-73.85414416189265
Bronx,Throgs Neck,40.815109258040046,-73.81635002158441
Bronx,Country Club,40.844245936947374,-73.8240992675385
Bronx,Parkchester,40.83793782226729,-73.85600310535783
Bronx,Westchester Square,40.8406194964327,-73.84219407604444
Bronx,Van Nest,40.84360847124718,-73.86629918075609
Bronx,Morris Park,40.847549063536334,-73.8504017803042
Bronx,Belmont,40.857277100738955,-73.88845196134805
Bronx,Spuyten Duyvil,40.88139497727086,-73.91719048210393
Bronx,North Riverdale,40.90854282950666,-73.90453054908927
Bronx,Pelham Bay,40.85064140940335,-73.8320737824047
Bronx,Schuylerville,40.826579516869224,-73.82620275994074
Bronx,Edgewater Park,40.82198611816349,-73.81388514428619
Bronx,Castle Hill,40.81901437698832,-73.84802729582734
Bronx,Olinville,40.87137078192371,-73.86332361652777
Bronx,Pelham Gardens,40.862965624779974,-73.84161194831223
Bronx,Concourse,40.83428380733851,-73.91558941773444
Bronx,Unionport,40.82977429787161,-73.85053524451935
Bronx,Edenwald,40.884561303037316,-73.84808271877169
Brooklyn,Bay Ridge,40.625801065010656,-74.03062069353813
Brooklyn,Bensonhurst,40.61100890202044,-73.99517998380729
Brooklyn,Sunset Park,40.64510294925429,-74.01031618527784
Brooklyn,Greenpoint,40.7302009848647,-73.95424093127394
Brooklyn,Gravesend,40.59526001306593,-73.97347087708445
Brooklyn,Brighton Beach,40.57682506566604,-73.96509448785335
Brooklyn,Sheepshead Bay,40.58689012678384,-73.9431864048298
Brooklyn,Manhattan Terrace,40.61443251335098,-73.95743840559939
Brooklyn,Flatbush,40.63632589026677,-73.95840106533903
Brooklyn,Crown Heights,40.67082917695294,-73.94329119073582
Brooklyn,East Flatbush,40.64171776668961,-73.93610256185836
Brooklyn,Kensington,40.64238195800353,-73.98042110559473
Brooklyn,Windsor Terrace,40.65694583575104,-73.98007340430172
Brooklyn,Prospect Heights,40.67682226225472,-73.9648592426269
Brooklyn,Brownsville,40.66394994339755,-73.91023536176606
Brooklyn,Williamsburg,40.707144393442505,-73.95811529220926
Brooklyn,Bushwick,40.69811611017901,-73.92525797487045
Brooklyn,Bedford Stuyvesant,40.68723160772045,-73.94178488690297
Brooklyn,Brooklyn Heights,40.69586372272408,-73.99378225496423
Brooklyn,Cobble Hill,40.687919722485574,-73.99856139218463
Brooklyn,Carroll Gardens,40.68054023107649,-73.99465372828006
Brooklyn,Red Hook,40.67625323025089,-74.01275897473559
Brooklyn,Gowanus,40.67393114318715,-73.99444087145339
Brooklyn,Fort Greene,40.68852726018977,-73.97290574369092
Brooklyn,Park Slope,40.67232052268197,-73.97705030183924
Brooklyn,Cypress Hills,40.68239101144211,-73.87661596457295
Brooklyn,East New York,40.669925700847045,-73.88069863917366
Brooklyn,Starrett City,40.64758905230874,-73.87936970045875
Brooklyn,Canarsie,40.63556432797428,-73.90209269778966
Brooklyn,Flatlands,40.630446043757466,-73.92911302644673
Brooklyn,Mill Island,40.606336421685626,-73.90818571777424
Brooklyn,Manhattan Beach,40.57791350308657,-73.94353722891886
Brooklyn,Coney Island,40.57429256471601,-73.98868295821637
Brooklyn,Bath Beach,40.59951870282239,-73.99875221443519
Brooklyn,Borough Park,40.633130512758015,-73.99049823044811
Brooklyn,Dyker Heights,40.61921945772264,-74.01931375636022
Brooklyn,Gerritsen Beach,40.590848433902046,-73.93010170691196
Brooklyn,Marine Park,40.60974777989461,-73.93134404108497
Brooklyn,Clinton Hill,40.69322942188151,-73.96784306216367
Brooklyn,Sea Gate,40.57637537890224,-74.00787311200241
Brooklyn,Downtown,40.69084402109802,-73.98346337431099
Brooklyn,Boerum Hill,40.68568291209144,-73.98374824115798
Brooklyn,Prospect Lefferts Gardens,40.65842001746981,-73.95489867077713
Brooklyn,Ocean Hill,40.67840255479536,-73.91306831787395
Brooklyn,City Line,40.67856995727479,-73.86797598081334
Brooklyn,Bergen Beach,40.615149550453076,-73.89855633630317
Brooklyn,Midwood,40.62559589869843,-73.95759523489838
Brooklyn,Prospect Park South,40.647008603185185,-73.96261316716048
Brooklyn,Georgetown,40.623845244784185,-73.91607483951323
Brooklyn,East Williamsburg,40.70849241041548,-73.93885815269195
Brooklyn,North Side,40.714822906532014,-73.95880857587582
Brooklyn,South Side,40.71086147265064,-73.95800095153331
Brooklyn,Ocean Parkway,40.61305976667942,-73.96836678035541
Brooklyn,Fort Hamilton,40.61476812694226,-74.03197914537985
Manhattan,Chinatown,40.71561842231432,-73.99427936255978
Manhattan,Washington Heights,40.851902525553044,-73.93690027985234
Manhattan,Inwood,40.86768396449915,-73.92121042203897
Manhattan,Hamilton Heights,40.823604284811935,-73.94968791883366
Manhattan,Manhattanville,40.81693442949779,-73.9573853935188
Manhattan,Central Harlem,40.81597606742414,-73.94321112603905
Manhattan,East Harlem,40.79224946663033,-73.94418223148523
Manhattan,Upper East Side,40.77563857330181,-73.96050763135
Manhattan,Yorkville,40.77592984988488,-73.94711784471826
Manhattan,Lenox Hill,40.76811265828733,-73.9588596881376
Manhattan,Roosevelt Island,40.76215960576283,-73.94916769227953
Manhattan,Upper West Side,40.787657998534854,-73.97705923630603
Manhattan,Lincoln Square,40.773528889421655,-73.98533777001262
Manhattan,Clinton,40.75910089146212,-73.99611936309479
Manhattan,Midtown,40.754691102706225,-73.98166882730305
Manhattan,Murray Hill,40.748303077252174,-73.97833207924127
Manhattan,Chelsea,40.744034706747975,-74.00311633472813
Manhattan,Greenwich Village,40.72693288536128,-73.99991402945902
Manhattan,East Village,40.727846777270244,-73.98222616506415
Manhattan,Lower East Side,40.71780674892765,-73.98089031999291
Manhattan,Tribeca,40.721521967443216,-74.01068328559087
Manhattan,Little Italy,40.71932379395907,-73.99730467208073
Manhattan,Soho,40.72218384131794,-74.0006566695976
Manhattan,West Village,40.73443393572435,-74.00617998126813
Manhattan,Manhattan Valley,40.797307041702865,-73.96428617740655
Manhattan,Morningside Heights,40.807999738165826,-73.96389627905332
Manhattan,Gramercy,40.737209832715,-73.98137594833541
Manhattan,Battery Park City,40.71193198394565,-74.01686930508617
Manhattan,Financial District,40.707107107270474,-74.01066544521271
Queens,Astoria,40.76850859335492,-73.91565374304234
Queens,Woodside,40.746349088602216,-73.90184166838284
Queens,Jackson Heights,40.75198138007367,-73.88282109164366
Queens,Elmhurst,40.74404850512202,-73.88165622288388
Queens,Howard Beach,40.65422527738487,-73.83813764600279
Queens,Corona,40.74238175015667,-73.85682497345258
Queens,Forest Hills,40.72526378216503,-73.84447500788983
Queens,Kew Gardens,40.705179035414794,-73.82981905825703
Queens,Richmond Hill,40.69794731471763,-73.83183321446889
Queens,Flushing,40.76445419697846,-73.83177300329581
Queens,Long Island City,40.75021734610528,-73.93920223915505
Queens,Sunnyside,40.74017628351925,-73.92691617561577
Queens,East Elmhurst,40.7640732388309,-73.86704147658772
Queens,Maspeth,40.725427374093606,-73.8962171362686
Queens,Ridgewood,40.708323156138576,-73.90143517559589
Queens,Glendale,40.70276242967838,-73.87074167435605
Queens,Rego Park,40.728974094807356,-73.85782686905371
Queens,Woodhaven,40.68988687915789,-73.8581104655432
Queens,Ozone Park,40.680708468265415,-73.84320266173447
Queens,South Ozone Park,40.66854957767195,-73.80986478649041
Queens,College Point,40.78490274926021,-73.84304528896125
Queens,Whitestone,40.781290766026935,-73.81420216610863
Queens,Bayside,40.76604063281064,-73.77427363068671
Queens,Auburndale,40.761729549032616,-73.79176243728061
Queens,Little Neck,40.7708261928267,-73.73889775580741
Queens,Douglaston,40.76684609790763,-73.74249820727329
Queens,Glen Oaks,40.74944079974332,-73.71548118999145
Queens,Bellerose,40.72857318176675,-73.72012814826904
Queens,Kew Gardens Hills,40.722578244228046,-73.82087764933566
Queens,Fresh Meadows,40.7343944653313,-73.78271337003264
Queens,Briarwood,40.71093547252271,-73.81174822458634
Queens,Jamaica Center,40.70465736068717,-73.79690165888289
Queens,Oakland Gardens,40.74561857141855,-73.75494976234332
Queens,Queens Village,40.718893092167356,-73.73871484578423
Queens,Hollis,40.71124344191904,-73.75925009335594
Queens,South Jamaica,40.69691125378989,-73.7904261313554
Queens,St. Albans,40.694445385223595,-73.75867603727717
Queens,Rochdale,40.67521139591733,-73.77258787620906
Queens,Springfield Gardens,40.66623049036858,-73.76042092682287
Queens,Cambria Heights,40.69277463916085,-73.73526873708028
Queens,Rosedale,40.65981643342808,-73.73526079428278
Queens,Far Rockaway,40.603134432500894,-73.75497968043872
Queens,Broad Channel,40.60302658351238,-73.8200548911032
Queens,Breezy Point,40.55740128845452,-73.92551196994168
Queens,Steinway,40.7759230156429,-73.90228960391673
Queens,Beechhurst,40.79278140360048,-73.80436451720988
Queens,Bay Terrace,40.78284280624555,-73.7768022262158
Queens,Edgemere,40.595641807368494,-73.77613282391705
Queens,Arverne,40.58914394372971,-73.79199233136944
Queens,Rockaway Beach,40.58280169684559,-73.82236121088752
Queens,Neponsit,40.572036730217015,-73.85754672410826
Queens,Murray Hill,40.764126122614066,-73.81276269135866
Queens,Floral Park,40.74137842194544,-73.70884705889245
Queens,Holliswood,40.7209572076444,-73.7671416671473
Queens,Jamaica Estates,40.71680483014613,-73.7872269693666
Queens,Queensboro Hill,40.7445723092867,-73.82580915110559
Queens,Hillcrest,40.723824901829204,-73.79760300912672
Queens,Ravenswood,40.761704526054146,-73.93157506072878
Queens,Lindenwood,40.66391841925139,-73.84963782402441
Queens,Laurelton,40.66788389660247,-73.74025607989822
Queens,Lefrak City,40.7360745708308,-73.86252471413741
Queens,Belle Harbor,40.576155565431094,-73.8540175039252
Queens,Rockaway Park,40.58034295646131,-73.84153370226186
Queens,Somerville,40.597710615657675,-73.79664750844047
Queens,Brookville,40.660003227336134,-73.75175310731153
Queens,Bellaire,40.73301404027834,-73.73889198912481
Queens,North Corona,40.7540709990489,-73.85751790676447
Queens,Forest Hills Gardens,40.714611081511705,-73.8410221123401
Staten Island,St. George,40.6449815710044,-74.07935312512797
Staten Island,New Brighton,40.64061455913511,-74.08701650516626
Staten Island,Stapleton,40.626927625381754,-74.07790192660066
Staten Island,Rosebank,40.61530494652761,-74.06980526716141
Staten Island,West Brighton,40.631878926546065,-74.1071817826561
Staten Island,Grymes Hill,40.624184791313006,-74.08724819983729
Staten Island,Todt Hill,40.59706851814673,-74.1113288180088
Staten Island,South Beach,40.58024741350957,-74.0795529253982
Staten Island,Port Richmond,40.63366930554365,-74.12943426797007
Staten Island,Mariner's Harbor,40.63254639048112,-74.15008537046981
Staten Island,Port Ivory,40.63968297845542,-74.17464532993542
Staten Island,Castleton Corners,40.61333593766742,-74.11918058534843
Staten Island,New Springville,40.594252379161695,-74.16496031329827
Staten Island,Travis,40.58631375103281,-74.19073717538116
Staten Island,New Dorp,40.57257231820632,-74.1164794360638
Staten Island,Oakwood,40.5584622432888,-74.12156593771896
Staten Island,Great Kills,40.549480228713605,-74.14932381490992
Staten Island,Eltingville,40.542230747450745,-74.1643308041936
Staten Island,Annadale,40.53811417474507,-74.17854866165878
Staten Island,Woodrow,40.541967622888755,-74.20524582480327
Staten Island,Tottenville,40.50533376115642,-74.24656934235283
Staten Island,Tompkinsville,40.637316067110326,-74.08055351790115
Staten Island,Silver Lake,40.61919310792676,-74.09629029235458
Staten Island,Sunnyside,40.61276015756489,-74.0971255217853
Brooklyn,Ditmas Park,40.64367518334098,-73.9610131246678
Brooklyn,Wingate,40.66094656188111,-73.93718680559314
Brooklyn,Rugby,40.65557231328077,-73.92688212616955
Staten Island,Park Hill,40.60919044434558,-74.08015734936295
Staten Island,Westerleigh,40.62109047275409,-74.13304143951704
Staten Island,Graniteville,40.62017151223189,-74.15315246387762
Staten Island,Arlington,40.63532509911492,-74.16510420241123
Staten Island,Arrochar,40.596312571276734,-74.06712363225573
Staten Island,Grasmere,40.598268359599906,-74.0766743627905
Staten Island,Old Town,40.59632891379513,-74.08751118005578
Staten Island,Dongan Hills,40.58867294819928,-74.0963990531252
Staten Island,Midland Beach,40.573526905742824,-74.09348266303591
Staten Island,Grant City,40.57621558711788,-74.10585598545434
Staten Island,New Dorp Beach,40.564255493073354,-74.10432707469124
Staten Island,Bay Terrace,40.55398800858462,-74.13916622175769
Staten Island,Huguenot,40.53191192048961,-74.19174105747814
Staten Island,Pleasant Plains,40.52469937611813,-74.21983106616777
Staten Island,Butler Manor,40.50608165346305,-74.22950350260027
Staten Island,Charleston,40.53053148283314,-74.23215775896526
Staten Island,Rossville,40.54940400650072,-74.21572851113952
Staten Island,Arden Heights,40.54928582278321,-74.18588674583894
Staten Island,Greenridge,40.55529523617321,-74.17079414786092
Staten Island,Heartland Village,40.58913894875281,-74.15902208156602
Staten Island,Chelsea,40.594726027462954,-74.18956045519691
Staten Island,Bloomfield,40.60577868452358,-74.18725638381567
Staten Island,Bulls Head,40.6095918004203,-74.15940948657122
Manhattan,Carnegie Hill,40.782682567125704,-73.95325646837112
Manhattan,Noho,40.72325901885768,-73.98843368023597
Manhattan,Civic Center,40.71522892046282,-74.00541529873355
Manhattan,Midtown South,40.7485096643122,-73.98871313285247
Staten Island,Richmond Town,40.56960594275505,-74.1340572986257
Staten Island,Shore Acres,40.60971934079284,-74.0666776606177
Staten Island,Clifton,40.61917845202843,-74.072642445484
Staten Island,Concord,40.6044731896879,-74.08402364740357
Staten Island,Emerson Hill,40.606794394801,-74.09776206972522
Staten Island,Randall Manor,40.63563000681151,-74.09805062373887
Staten Island,Howland Hook,40.63843283794795,-74.18622331749823
Staten Island,Elm Park,40.630146741193826,-74.1418167896889
Brooklyn,Remsen Village,40.652117451793494,-73.91665331978048
Brooklyn,New Lots,40.662744279696604,-73.88511776379292
Brooklyn,Paerdegat Basin,40.63131755039667,-73.90233474295836
Brooklyn,Mill Basin,40.61597423962336,-73.91515391550405
Queens,Jamaica Hills,40.71145964370482,-73.79646462081594
Queens,Utopia,40.733500254297574,-73.79671678028348
Queens,Pomonok,40.73493618075478,-73.80486120040538
Queens,Astoria Heights,40.7703173929982,-73.89467996270574
Bronx,Claremont Village,40.83142834161548,-73.90119903387668
Bronx,Concourse Village,40.824780490842905,-73.91584652759009
Bronx,Mount Eden,40.84382617671654,-73.91655551964418
Bronx,Mount Hope,40.84884160724665,-73.90829930881988
Manhattan,Sutton Place,40.760280331313744,-73.96355614094303
Queens,Hunters Point,40.743414090073536,-73.95386782130745
Manhattan,Turtle Bay,40.752042369507215,-73.96770824581834
Manhattan,Tudor City,40.7469174107402,-73.97121928722265
Manhattan,Stuyvesant Town,40.730999554770605,-73.97405170469203
Manhattan,Flatiron,40.73967304763842,-73.99094710528259
Queens,Sunnyside Gardens,40.74565180608076,-73.91819286431682
Queens,Blissville,40.73725071694497,-73.93244235260178
Brooklyn,Fulton Ferry,40.70328109093014,-73.99550751888415
Brooklyn,Vinegar Hill,40.70332149882874,-73.98111603592393
Brooklyn,Weeksville,40.67503986503237,-73.93053108817337
Brooklyn,Broadway Junction,40.67786104769531,-73.90331684852598
Brooklyn,Dumbo,40.703176328226924,-73.98875280745041
Staten Island,Manor Heights,40.60180957631444,-74.12059399718001
Staten Island,Willowbrook,40.603706926273716,-74.13208447484298
Staten Island,Sandy Ground,40.54113992209177,-74.21776636068567
Staten Island,Egbertville,40.57911874296122,-74.12727240604946
Queens,Roxbury,40.56737588957032,-73.89213760232822
Brooklyn,Homecrest,40.598525095137255,-73.95918459428701
Queens,Middle Village,40.71641451115819,-73.88114319200605
Staten Island,Prince's Bay,40.526264067348116,-74.20152556457658
Staten Island,Lighthouse Hill,40.57650629379489,-74.13792663771568
Staten Island,Richmond Valley,40.5195414574891,-74.22957080626941
Queens,Malba,40.790601556701475,-73.8266775713864
Brooklyn,Highland Park,40.681998934517296,-73.890345709872
Brooklyn,Madison,40.60937770113766,-73.94841515328893
Bronx,Bronxdale,40.85272297633017,-73.86172577555115
Bronx,Allerton,40.86578787802982,-73.85931863221647
Bronx,Kingsbridge Heights,40.870392391414704,-73.90152264513144
Brooklyn,Erasmus,40.64692606658579,-73.94817709920184
Manhattan,Hudson Yards,40.75665808227519,-74.00011136202637
Queens,Hammels,40.58733774018741,-73.80553002968719
Queens,Bayswater,40.61132169128385,-73.76596781445626
Queens,Queensbridge,40.75609129709471,-73.9456307033409
Staten Island,Fox Hills,40.61731079252983,-74.08173992211962
